name,lat,lng
1.starbucks simei,1.340670,103.954002
2.starbucks bukit timah ,1.323860,103.810050
3.starbucks bishan ,1.349490,103.850740
4.starbucks nex mall sarangon 4,1.350860,103.872383
5.starbucks hougang ,1.37561,103.88
6.starbucks sengkang ,1.39106,103.87
7.starbucks hdb hub(toa payoh) ,1.33255,103.84911
8.starbucks wodlegh mall ,1.33779,103.86941
9.starbucks Zhongshan  mall ,1.29088,103.85239
10.starbucks The Poiz Centre ,1.33131, 103.86898
11.starbucks Hougnag mall ,1.37482, 103.88837
12.starbucks baungkok ,1.38218, 103.89395,
13.starbucks Novena,1.32115,103.84301
14.starbucks Compass One,1.39246,1.39246
14.starbucks united mall,1.31707,103.8441
15.starbucks city square mall,1.31127,103.85607
16.starbucksNorthpoint City ,1.42935,103.83675
17.starbucks kallang wave ,1.3107,103.8644
18.starbucks waterway mall ,  1.30639,103.83205
19.starbucks delfi ,  1.30688,103.82844
20.starbucks paragon ,  1.30374,103.83609
21.starbucks paragon ,  1.30374,103.83609

