
Year,Anomaly
1850,-0.07
1851,0.12
1852,0.07
1853,-0.01
1854,0.02
1855,0.03
1856,-0.15
1857,-0.03
1858,-0.06
1859,0.04
1860,-0.11
1861,0.05
1862,-0.10
1863,-0.06
1864,-0.07
1865,0.07
1866,-0.08
1867,0.13
1868,-0.03
1869,-0.09
1870,-0.05
1871,-0.08
1872,-0.02
1873,0.00
1874,-0.09
1875,0.02
1876,-0.05
1877,0.32
1878,0.12
1879,-0.01
1880,-0.01
1881,-0.03
1882,-0.04
1883,-0.10
1884,-0.12
1885,-0.17
1886,-0.20
1887,-0.17
1888,-0.01
1889,-0.12
1890,-0.35
1891,-0.06
1892,-0.10
1893,-0.18
1894,-0.17
1895,-0.06
1896,0.02
1897,-0.04
1898,-0.19
1899,-0.03
1900,0.01
1901,-0.20
1902,-0.21
1903,-0.44
1904,-0.46
1905,-0.19
1906,-0.25
1907,-0.32
1908,-0.44
1909,-0.41
1910,-0.39
1911,-0.36
1912,-0.40
1913,-0.34
1914,-0.12
1915,-0.11
1916,-0.29
1917,-0.15
1918,-0.15
1919,-0.27
1920,-0.13
1921,-0.11
1922,-0.30
1923,-0.29
1924,-0.33
1925,-0.17
1926,-0.13
1927,-0.16
1928,-0.20
1929,-0.21
1930,-0.06
1931,-0.10
1932,-0.21
1933,-0.25
1934,-0.06
1935,-0.18
1936,-0.09
1937,0.05
1938,-0.10
1939,-0.01
1940,0.12
1941,0.20
1942,-0.03
1943,0.09
1944,0.29
1945,0.29
1946,-0.04
1947,-0.17
1948,-0.16
1949,-0.10
1950,-0.07
1951,0.08
1952,0.08
1953,0.03
1954,-0.10
1955,-0.09
1956,-0.13
1957,0.11
1958,0.12
1959,0.09
1960,0.11
1961,0.05
1962,0.12
1963,0.12
1964,-0.10
1965,0.04
1966,0.02
1967,-0.01
1968,0.07
1969,0.16
1970,0.06
1971,-0.08
1972,0.13
1973,0.13
1974,0.03
1975,-0.01
1976,0.03
1977,0.21
1978,0.12
1979,0.29
1980,0.23
1981,0.23
1982,0.28
1983,0.29
1984,0.28
1985,0.21
1986,0.24
1987,0.45
1988,0.29
1989,0.34
1990,0.33
1991,0.31
1992,0.20
1993,0.25
1994,0.27
1995,0.30
1996,0.31
1997,0.56
1998,0.40
1999,0.28
2000,0.37
2001,0.46
2002,0.47
2003,0.55
2004,0.49
2005,0.50
2006,0.52
2007,0.39
2008,0.47
2009,0.54
2010,0.48
2011,0.41
2012,0.56
2013,0.55
2014,0.69
2015,0.80
2016,0.72
2017,0.68
2018,0.69
2019,0.73
2020,0.69
2021,0.68
2022,0.70
